date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,sl_spot,tp_spot,sl_pts,lots,lot_size,quantity,exit_spot,gross_pnl,net_pnl,pnl_pct,exit_reason
2025-01-02,NIFTY,ORB,CALL,NEUTRAL,0.102,10:45:00,10:50:00,23914.05,23842.52,23977.8,71.53,1,50,50,23948.65,1680.0,1520.26,0.13,NO_MOVE_EXTENDED
2025-01-06,NIFTY,ORB,PUT,NEUTRAL,0.232,11:10:00,11:15:00,23744.3,23816.14,23696.81,71.84,1,50,50,23640.9,5220.0,5061.8,0.43,TP hit
2025-01-07,NIFTY,SMC,PUT,NEUTRAL,0.213,13:30:00,13:35:00,23759.7,23771.95,23735.2,12.25,1,50,50,23729.75,1547.5,1388.85,0.12,TP hit
2025-01-08,NIFTY,ORB,PUT,NEUTRAL,0.22,11:20:00,11:25:00,23547.2,23618.08,23438.98,70.88,1,50,50,23535.45,637.5,479.83,0.04,NO_MOVE_EXTENDED
2025-01-10,NIFTY,VWAP,PUT,NEUTRAL,-0.022,13:25:00,13:30:00,23488.65,23535.63,0.0,46.98,1,50,50,23443.6,2302.5,2145.28,0.18,Hard close (15:15)
2025-01-13,NIFTY,VWAP,PUT,BEARISH,-1.032,11:25:00,11:30:00,23240.8,23287.28,0.0,46.48,1,50,50,23098.05,7187.5,7032.01,0.61,Hard close (15:15)
2025-01-15,NIFTY,VWAP,PUT,NEUTRAL,0.188,11:30:00,11:35:00,23213.1,23259.53,0.0,46.43,1,50,50,23260.4,-2315.0,-2471.3,-0.21,SL hit
2025-01-17,NIFTY,ORB,PUT,BEARISH,-0.316,10:45:00,10:50:00,23149.15,23218.65,22979.47,69.5,1,50,50,23257.3,-5357.5,-5513.78,-0.48,SL hit
2025-01-22,NIFTY,VWAP,PUT,NEUTRAL,0.2,10:35:00,10:40:00,23074.25,23120.4,0.0,46.15,1,50,50,23122.0,-2337.5,-2493.11,-0.22,SL hit
2025-01-24,NIFTY,ORB,CALL,NEUTRAL,-0.14,11:40:00,11:45:00,23321.95,23252.07,23463.42,69.88,1,50,50,23234.85,-4405.0,-4561.17,-0.39,SL hit
2025-01-28,NIFTY,ORB,CALL,BULLISH,0.629,11:35:00,11:40:00,22997.3,22928.38,23121.5,68.92,1,50,50,23127.65,6467.5,6311.86,0.55,TP hit
2025-01-29,NIFTY,ORB,CALL,NEUTRAL,0.22,10:55:00,11:00:00,23122.75,23053.54,23209.87,69.21,1,50,50,22995.65,-6405.0,-6559.98,-0.57,SL hit
2025-02-01,NIFTY,SMC,PUT,NEUTRAL,-0.022,11:35:00,11:40:00,23586.2,23642.45,23473.7,56.25,1,50,50,23396.6,9530.0,9373.02,0.79,TP hit
2025-02-03,NIFTY,SMC,PUT,BEARISH,-0.749,13:00:00,13:05:00,23328.85,23348.9,23288.75,20.05,1,50,50,23351.55,-1085.0,-1241.76,-0.11,SL hit
2025-02-04,NIFTY,ORB,PUT,BULLISH,0.643,10:35:00,10:40:00,23426.45,23496.89,23338.0,70.44,1,50,50,23499.1,-3582.5,-3739.99,-0.32,SL hit
2025-02-05,NIFTY,SMC,CALL,BULLISH,0.397,11:20:00,11:25:00,23748.9,23703.55,23839.6,45.35,1,50,50,23743.15,-337.5,-496.21,-0.04,NO_MOVE_TREND_LOST
2025-02-11,NIFTY,SMC,CALL,NEUTRAL,0.032,13:15:00,13:20:00,23089.0,23012.45,23242.1,76.55,1,50,50,23003.85,-4307.5,-4462.52,-0.39,SL hit
2025-02-12,NIFTY,SMC,PUT,NEUTRAL,-0.085,12:30:00,12:35:00,23069.5,23097.6,23013.3,28.1,1,50,50,23103.05,-1627.5,-1783.01,-0.15,SL hit
2025-02-14,NIFTY,ORB,PUT,BULLISH,0.335,10:35:00,10:40:00,22951.15,23020.17,22817.45,69.02,1,50,50,22802.7,7472.5,7318.49,0.64,TP hit
2025-02-19,NIFTY,ORB,CALL,BEARISH,-0.331,10:45:00,10:50:00,22994.0,22925.26,23058.6,68.74,1,50,50,23006.6,580.0,424.97,0.04,NO_MOVE_EXTENDED
2025-02-21,NIFTY,ORB,PUT,NEUTRAL,-0.22,11:05:00,11:10:00,22744.05,22812.57,22698.56,68.52,1,50,50,22822.35,-3865.0,-4019.11,-0.35,SL hit
2025-03-05,NIFTY,ORB,CALL,NEUTRAL,-0.033,11:35:00,11:40:00,22329.2,22262.45,22523.8,66.75,1,50,50,22333.35,157.5,5.84,0.0,Hard close (15:15)
2025-03-07,NIFTY,VWAP,PUT,NEUTRAL,-0.091,11:45:00,11:50:00,22549.75,22594.85,0.0,45.1,1,50,50,22570.65,-995.0,-1147.85,-0.1,NO_MOVE_TREND_LOST
2025-03-12,NIFTY,ORB,PUT,NEUTRAL,0.063,10:45:00,10:50:00,22421.2,22488.55,22259.15,67.35,1,50,50,22490.75,-3427.5,-3579.95,-0.32,SL hit
2025-03-13,NIFTY,ORB,PUT,BULLISH,0.325,11:35:00,11:40:00,22431.5,22498.88,22317.0,67.38,1,50,50,22428.9,180.0,27.86,0.0,NO_MOVE_EXTENDED
2025-03-17,NIFTY,VWAP,CALL,NEUTRAL,-0.135,11:35:00,11:40:00,22522.55,22477.5,0.0,45.05,1,50,50,22453.8,-3487.5,-3639.77,-0.32,SL hit
2025-03-21,NIFTY,ORB,CALL,NEUTRAL,0.011,10:45:00,10:50:00,23341.75,23271.92,23492.55,69.83,1,50,50,23358.45,785.0,628.21,0.05,NO_MOVE_EXTENDED
2025-03-24,NIFTY,ORB,CALL,BULLISH,0.684,10:55:00,11:00:00,23625.25,23554.69,23672.5,70.56,1,50,50,23646.7,1022.5,864.27,0.07,NO_MOVE_EXTENDED
2025-03-25,NIFTY,SMC,CALL,BULLISH,0.327,11:50:00,11:55:00,23677.6,23617.55,23797.7,60.05,1,50,50,23672.45,-307.5,-465.86,-0.04,NO_MOVE_TREND_LOST
2025-03-26,NIFTY,VWAP,PUT,BULLISH,0.402,11:00:00,11:05:00,23638.05,23685.33,0.0,47.28,1,50,50,23478.6,8022.5,7865.11,0.67,Hard close (15:15)
2025-04-01,NIFTY,ORB,PUT,BEARISH,-0.656,10:55:00,11:00:00,23243.5,23313.52,23000.02,70.02,1,50,50,23213.9,1530.0,1373.93,0.12,NO_MOVE_EXTENDED
2025-04-08,NIFTY,ORB,PUT,BULLISH,0.939,10:30:00,10:35:00,22377.4,22444.74,22250.55,67.34,1,50,50,22481.15,-5137.5,-5289.9,-0.47,SL hit
2025-04-17,NIFTY,ORB,CALL,NEUTRAL,-0.134,11:40:00,11:45:00,23598.85,23528.63,23646.05,70.22,1,50,50,23649.45,2480.0,2321.76,0.2,TP hit
2025-04-23,NIFTY,PDH_PDL,PUT,BULLISH,0.926,11:20:00,11:25:00,24180.75,24229.24,24132.39,48.49,1,50,50,24239.2,-2872.5,-3033.69,-0.25,SL hit
2025-05-07,NIFTY,PDH_PDL,CALL,BEARISH,-0.422,11:00:00,11:05:00,24362.55,24313.82,24411.28,48.73,1,50,50,24425.05,3075.0,2912.88,0.24,TP hit
2025-05-09,NIFTY,VWAP,CALL,BEARISH,-0.904,11:25:00,11:30:00,24093.0,24044.81,0.0,48.19,1,50,50,24018.35,-3782.5,-3942.59,-0.33,SL hit
2025-05-15,NIFTY,VWAP,CALL,NEUTRAL,0.035,10:30:00,10:35:00,24620.8,24571.56,0.0,49.24,1,50,50,24693.8,3600.0,3436.53,0.28,Trail SL
2025-05-15,NIFTY,SMC,PUT,NEUTRAL,0.035,13:00:00,13:05:00,24734.65,24762.3,24679.35,27.65,1,50,50,24814.95,-3965.0,-4129.07,-0.33,SL hit
2025-05-21,NIFTY,ORB,CALL,NEUTRAL,0.123,10:35:00,10:40:00,24932.95,24858.5,25003.65,74.45,1,50,50,24851.55,-4120.0,-4284.26,-0.34,SL hit
2025-05-23,NIFTY,ORB,CALL,NEUTRAL,0.01,10:45:00,10:50:00,24876.7,24802.35,25040.92,74.35,1,50,50,24855.95,-1087.5,-1251.78,-0.1,Hard close (15:15)
2025-05-26,NIFTY,VWAP,PUT,NEUTRAL,0.299,12:40:00,12:45:00,24967.35,25017.28,0.0,49.93,1,50,50,24985.65,-865.0,-1029.93,-0.08,NO_MOVE_EXTENDED
2025-05-27,NIFTY,VWAP,CALL,NEUTRAL,-0.159,11:00:00,11:05:00,24876.35,24826.6,0.0,49.75,1,50,50,24930.3,2647.5,2482.85,0.2,Trail SL
2025-05-27,NIFTY,VWAP,PUT,NEUTRAL,-0.159,12:25:00,12:30:00,24854.05,24903.76,0.0,49.71,1,50,50,24817.7,1867.5,1703.41,0.14,Trail SL
2025-05-29,NIFTY,ORB,PUT,NEUTRAL,0.274,11:00:00,11:05:00,24715.75,24790.09,24614.7,74.34,1,50,50,24742.4,-1282.5,-1446.21,-0.12,NO_MOVE_EXTENDED
2025-05-29,NIFTY,VWAP,CALL,NEUTRAL,0.274,12:55:00,13:00:00,24769.75,24720.21,0.0,49.54,1,50,50,24744.9,-1292.5,-1456.22,-0.12,NO_MOVE_TREND_LOST
2025-06-11,NIFTY,SMC,CALL,NEUTRAL,0.17,13:55:00,14:00:00,25145.7,25098.09,25240.92,47.61,1,50,50,25137.25,-472.5,-638.18,-0.05,NO_MOVE_TREND_LOST
2025-06-12,NIFTY,ORB,PUT,NEUTRAL,0.15,10:40:00,10:45:00,25043.7,25119.0,24955.58,75.3,1,50,50,25039.15,277.5,112.31,0.01,NO_MOVE_EXTENDED
2025-06-16,NIFTY,ORB,CALL,NEUTRAL,-0.013,11:05:00,11:10:00,24926.1,24851.65,24988.73,74.45,1,50,50,24949.6,1125.0,960.25,0.08,NO_MOVE_EXTENDED
2025-06-17,NIFTY,VWAP,PUT,NEUTRAL,0.148,10:45:00,10:50:00,24874.45,24924.2,0.0,49.75,1,50,50,24892.7,-862.5,-1026.96,-0.08,NO_MOVE_TREND_LOST
2025-06-18,NIFTY,SMC,CALL,NEUTRAL,-0.214,11:35:00,11:40:00,24798.75,24756.9,24882.45,41.85,1,50,50,24813.0,662.5,498.44,0.04,NO_MOVE_TREND_LOST
2025-06-19,NIFTY,VWAP,PUT,NEUTRAL,0.018,10:30:00,10:35:00,24799.8,24849.4,0.0,49.6,1,50,50,24805.5,-235.0,-399.03,-0.03,NO_MOVE_EXTENDED
2025-07-03,NIFTY,SMC,PUT,NEUTRAL,0.245,11:25:00,11:30:00,25539.65,25586.92,25445.12,47.27,1,50,50,25426.3,5717.5,5550.37,0.43,TP hit
2025-07-09,NIFTY,VWAP,PUT,NEUTRAL,-0.033,13:00:00,13:05:00,25491.35,25542.33,0.0,50.98,1,50,50,25470.1,1112.5,945.15,0.07,Hard close (15:15)
2025-07-18,NIFTY,ORB,PUT,NEUTRAL,-0.004,11:45:00,11:50:00,24947.5,25022.63,24890.98,75.13,1,50,50,24940.7,390.0,225.3,0.02,NO_MOVE_EXTENDED
2025-07-30,NIFTY,VWAP,CALL,NEUTRAL,0.242,11:10:00,11:15:00,24847.3,24797.61,0.0,49.69,1,50,50,24864.2,795.0,630.68,0.05,NO_MOVE_EXTENDED
2025-07-31,NIFTY,ORB,CALL,BEARISH,-0.814,11:00:00,11:05:00,24760.35,24686.16,24869.88,74.19,1,50,50,24876.15,5740.0,5575.62,0.45,TP hit
