date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,lots,lot_size,quantity,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-11-27,NIFTY,SMC,CALL,NEUTRAL,0.049,11:55:00,12:00:00,24192.8,75.98,24151.7,1,50,50,17.89,2804.45,2764.17,73.73,Short TP,1
2024-11-28,NIFTY,VWAP,PUT,NEUTRAL,-0.013,10:30:00,10:35:00,24225.65,201.29,24305.4,1,50,50,59.43,6993.09,6952.18,69.42,Short TP,7
2024-11-29,NIFTY,ORB,CALL,NEUTRAL,-0.126,10:30:00,10:35:00,24105.3,185.44,24012.69,1,50,50,130.53,2645.4,2603.43,28.23,Hard close (14:30),6
2024-12-03,NIFTY,SMC,PUT,BULLISH,0.38,11:55:00,12:00:00,24439.35,108.54,24449.7,1,50,50,103.82,135.91,94.33,1.75,Hard close (14:30),2
2024-12-04,NIFTY,VWAP,PUT,NEUTRAL,0.175,11:55:00,12:00:00,24416.35,76.68,24532.05,1,50,50,115.11,-2021.29,-2063.03,-54.52,Short SL,1
2024-12-05,NIFTY,ORB,PUT,BULLISH,0.317,10:55:00,11:00:00,24331.45,202.17,24476.64,1,50,50,317.54,-5868.61,-5913.39,-58.79,Short SL,7
2024-12-09,NIFTY,VWAP,PUT,NEUTRAL,-0.142,12:30:00,12:35:00,24636.2,134.01,24661.85,1,50,50,112.53,973.93,932.23,14.02,Hard close (14:30),3
2024-12-13,NIFTY,ORB,PUT,NEUTRAL,-0.168,10:30:00,10:35:00,24210.05,186.24,24422.24,1,50,50,338.84,-7729.81,-7774.9,-83.94,Short SL,6
2024-12-16,NIFTY,ORB,PUT,NEUTRAL,-0.113,11:10:00,11:15:00,24628.05,133.97,24711.32,1,50,50,129.88,104.41,62.44,0.94,Hard close (14:30),3
2024-12-19,NIFTY,SMC,PUT,BEARISH,-1.394,11:35:00,11:40:00,23986.35,199.3,24014.9,1,50,50,155.97,2066.47,2024.12,20.41,Hard close (14:30),7
2024-12-23,NIFTY,ORB,CALL,BULLISH,0.452,10:55:00,11:00:00,23825.35,129.6,23775.03,1,50,50,199.76,-3607.94,-3650.95,-56.78,Short SL,3
2024-12-24,NIFTY,ORB,CALL,NEUTRAL,0.092,10:40:00,10:45:00,23827.6,105.83,23771.56,1,50,50,132.75,-1446.04,-1488.05,-28.39,Hard close (14:30),2
2024-12-26,NIFTY,ORB,PUT,NEUTRAL,0.192,10:45:00,10:50:00,23713.0,197.03,23797.87,1,50,50,176.33,934.89,892.23,9.1,Hard close (14:30),7
2024-12-30,NIFTY,ORB,CALL,NEUTRAL,-0.149,10:45:00,10:50:00,23840.45,129.68,23785.89,1,50,50,195.48,-3390.11,-3433.05,-53.36,Short SL,3
2024-12-31,NIFTY,PDH_PDL,CALL,BEARISH,-0.414,11:40:00,11:45:00,23612.9,104.87,23567.69,1,50,50,82.78,1004.62,963.37,18.55,Hard close (14:30),2
2025-01-01,NIFTY,ORB,CALL,NEUTRAL,-0.132,10:45:00,10:50:00,23712.85,74.47,23658.04,1,50,50,14.98,2874.72,2834.48,77.16,Short TP,1
2025-01-02,NIFTY,ORB,CALL,NEUTRAL,0.102,10:45:00,10:50:00,23914.05,198.7,23814.9,1,50,50,49.61,7354.68,7313.92,73.99,Short TP,7
2025-01-06,NIFTY,ORB,PUT,NEUTRAL,0.232,11:10:00,11:15:00,23744.3,129.16,23990.41,1,50,50,38.5,4433.0,4392.4,68.55,Hard close (14:30),3
2025-01-07,NIFTY,SMC,PUT,NEUTRAL,0.213,13:30:00,13:35:00,23759.85,105.53,23771.95,1,50,50,76.85,1333.98,1292.82,24.74,Hard close (14:30),2
2025-01-08,NIFTY,ORB,PUT,NEUTRAL,0.22,11:20:00,11:25:00,23547.2,73.95,23664.24,1,50,50,111.52,-1978.56,-2020.25,-55.39,Short SL,1
