date,index,direction,sweep_time,level_price,level_kind,wick_pts,rr,adx,trend,entry_spot,sl_spot,tp_spot,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2025-05-08,BANKNIFTY,PUT,09:55:00,54684.3,PDH,71.05,2.0,15.8,NEUTRAL,54680.2,54771.78,54497.05,420.64,333.7,1,15,15,-1364.16,-1405.65,-22.28,SL hit,6
2025-05-09,BANKNIFTY,PUT,09:50:00,53738.9,SWING_H,61.35,2.0,28.0,BEAR,53688.6,53816.39,53433.02,377.03,373.9,1,15,15,-106.88,-148.56,-2.63,No-run exit,5
2025-05-12,BANKNIFTY,PUT,09:40:00,55069.35,OR_H,91.25,2.0,45.6,BEAR,55023.35,55177.15,54715.75,244.38,125.52,1,15,15,-1842.97,-1883.53,-51.38,SL hit (theta),2
2025-05-13,BANKNIFTY,CALL,09:35:00,55075.35,OR_L,93.45,2.0,46.8,BULL,55325.7,54965.41,56046.29,173.75,77.63,1,15,15,-1501.8,-1542.14,-59.17,SL hit (theta),1
2025-05-14,BANKNIFTY,CALL,10:40:00,54994.4,SWING_L,27.6,2.0,8.9,NEUTRAL,55047.8,54950.31,55242.78,457.4,429.67,1,15,15,-475.94,-517.86,-7.55,No-run exit,7
2025-05-15,BANKNIFTY,CALL,09:50:00,54491.0,PDL,48.7,2.0,39.2,NEUTRAL,54539.3,54425.97,54765.97,419.56,414.83,1,15,15,-130.92,-172.78,-2.75,No-run exit,6
2025-05-20,BANKNIFTY,CALL,10:40:00,55227.9,OR_L,47.4,2.0,31.6,NEUTRAL,55260.85,55163.95,55454.66,173.55,107.06,1,15,15,-1057.39,-1097.86,-42.17,SL hit (theta),1
2025-05-21,BANKNIFTY,PUT,10:25:00,55283.95,SWING_H,47.6,2.0,41.1,BEAR,55240.4,55348.15,55024.9,459.0,448.4,1,15,15,-219.07,-261.08,-3.79,No-run exit,7
2025-05-23,BANKNIFTY,CALL,10:05:00,55170.25,SWING_L,39.4,1.68,34.9,NEUTRAL,55177.7,55114.31,55283.95,387.48,351.57,1,15,15,-598.58,-640.16,-11.01,SL hit,5
2025-05-27,BANKNIFTY,CALL,09:35:00,55128.6,OR_L,74.9,2.0,13.4,BULL,55262.75,55037.18,55713.88,173.56,110.55,1,15,15,-1005.12,-1045.61,-40.16,SL hit (theta),1
