date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,tp_spot,lots,lot_size,quantity,partial1_lots,partial1_px,partial2_lots,partial2_px,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-11-06,NIFTY,ORB,CALL,BULLISH,0.457,11:50:00,11:55:00,24424.65,34.52,24308.14,24575.8,3,50,150,0,0.0,0,0.0,39.07,382.98,341.27,6.41,NO_MOVE_EXTENDED,1
2024-11-11,NIFTY,ORB,CALL,NEUTRAL,-0.096,11:10:00,11:15:00,24309.35,59.5,24111.6,24386.73,1,50,50,0,0.0,0,0.0,46.85,-732.38,-773.07,-25.56,Hard SL,3
2024-11-28,NIFTY,VWAP,PUT,NEUTRAL,-0.013,10:30:00,10:35:00,24225.65,90.58,24305.4,0.0,3,50,150,0,0.0,0,0.0,92.87,43.48,-0.65,-0.0,Hard close (15:15),7
2024-11-29,NIFTY,ORB,CALL,NEUTRAL,-0.126,10:30:00,10:35:00,24105.3,83.45,24012.69,24232.65,3,50,150,0,0.0,0,0.0,78.62,-1024.25,-1067.75,-8.43,NO_MOVE_EXTENDED,6
2024-12-04,NIFTY,VWAP,PUT,NEUTRAL,0.175,11:55:00,12:00:00,24416.35,34.51,24532.05,0.0,3,50,150,0,0.0,0,0.0,29.29,-1082.76,-1124.03,-21.1,Hard SL,1
2024-12-05,NIFTY,ORB,PUT,BULLISH,0.317,10:55:00,11:00:00,24331.45,90.98,24476.64,24313.82,1,50,50,0,0.0,0,0.0,73.86,-955.92,-997.01,-21.68,Hard SL,7
2024-12-05,NIFTY,VWAP,CALL,BULLISH,0.317,12:05:00,12:10:00,24515.55,91.66,24401.6,0.0,3,50,150,0,0.0,0,0.0,50.71,-6442.72,-6484.96,-46.66,Hard SL,7
2024-12-09,NIFTY,VWAP,PUT,NEUTRAL,-0.142,12:30:00,12:35:00,24636.2,60.3,24661.85,0.0,3,50,150,0,0.0,0,0.0,57.06,-785.82,-828.35,-9.01,NO_MOVE_TREND_LOST,3
2024-12-13,NIFTY,ORB,PUT,NEUTRAL,-0.168,10:30:00,10:35:00,24210.05,83.81,24422.24,24168.8,1,50,50,0,0.0,0,0.0,67.57,-911.84,-952.84,-22.47,Hard SL,6
2024-12-13,NIFTY,ORB,PUT,NEUTRAL,-0.168,11:10:00,11:15:00,24279.45,84.05,24422.24,24168.8,2,50,100,0,0.0,0,0.0,66.71,-1933.55,-1975.53,-23.23,Hard SL,6
2024-12-16,NIFTY,ORB,PUT,NEUTRAL,-0.113,11:10:00,11:15:00,24628.05,60.29,24711.32,24531.5,3,50,150,0,0.0,0,0.0,53.4,-1333.42,-1375.77,-14.96,NO_MOVE_EXTENDED,3
2024-12-23,NIFTY,ORB,CALL,BULLISH,0.452,10:55:00,11:00:00,23825.35,58.32,23775.03,23963.85,3,50,150,0,0.0,0,0.0,53.03,-1093.07,-1135.41,-12.76,NO_MOVE_TREND_LOST,3
2024-12-23,NIFTY,VWAP,PUT,BULLISH,0.452,12:00:00,12:05:00,23781.55,58.21,23819.5,0.0,3,50,150,1,76.2408093394216,0,0.0,72.02,1982.83,1939.57,21.84,Trail SL,3
2024-12-24,NIFTY,ORB,CALL,NEUTRAL,0.092,10:40:00,10:45:00,23827.6,47.62,23771.56,23930.77,3,50,150,0,0.0,0,0.0,40.04,-1436.3,-1478.05,-20.27,Hard SL,2
2024-12-26,NIFTY,ORB,PUT,NEUTRAL,0.192,10:45:00,10:50:00,23713.0,88.66,23797.87,23652.25,3,50,150,0,0.0,0,0.0,74.26,-2460.06,-2503.35,-18.61,Hard SL,7
2024-12-30,NIFTY,ORB,CALL,NEUTRAL,-0.149,10:45:00,10:50:00,23840.45,58.36,23785.89,23983.35,3,50,150,0,0.0,0,0.0,44.51,-2376.9,-2418.86,-27.17,SL hit,3
2024-12-30,NIFTY,ORB,CALL,NEUTRAL,-0.149,11:30:00,11:35:00,23866.35,58.42,23785.89,23983.35,3,50,150,0,0.0,0,0.0,41.49,-2838.85,-2880.67,-32.32,Hard SL,3
2024-12-31,NIFTY,PDH_PDL,CALL,BEARISH,-0.414,11:40:00,11:45:00,23612.9,47.19,23567.69,23545.45,3,50,150,0,0.0,0,0.0,45.76,-514.04,-556.06,-7.69,VWAP TP,2
2024-12-31,NIFTY,PDH_PDL,CALL,BEARISH,-0.414,13:20:00,13:25:00,23614.3,47.2,23567.69,23559.05,3,50,150,0,0.0,0,0.0,49.11,-14.09,-56.26,-0.78,VWAP TP,2
2025-01-01,NIFTY,ORB,CALL,NEUTRAL,-0.132,10:45:00,10:50:00,23712.85,33.51,23658.04,23811.4,3,50,150,1,46.05018324985879,0,0.0,39.97,973.2,931.36,17.99,Trail SL,1
2025-01-02,NIFTY,ORB,CALL,NEUTRAL,0.102,10:45:00,10:50:00,23914.05,89.41,23814.9,23977.8,3,50,150,0,0.0,0,0.0,94.0,388.01,343.83,2.54,NO_MOVE_EXTENDED,7
2025-01-06,NIFTY,ORB,PUT,NEUTRAL,0.232,11:10:00,11:15:00,23744.3,58.12,23990.41,23734.45,1,50,50,0,0.0,0,0.0,65.51,269.71,228.74,7.74,TP hit,3
2025-01-06,NIFTY,ORB,PUT,NEUTRAL,0.232,11:45:00,11:50:00,23644.95,57.88,23990.41,23734.45,1,50,50,0,0.0,0,0.0,60.79,45.49,4.59,0.16,TP hit,3
2025-01-08,NIFTY,ORB,PUT,NEUTRAL,0.22,11:20:00,11:25:00,23547.2,33.28,23664.24,23438.98,2,50,100,0,0.0,0,0.0,25.75,-952.89,-993.63,-28.99,Hard SL,1
2025-01-08,NIFTY,ORB,PUT,NEUTRAL,0.22,11:25:00,11:30:00,23581.35,33.33,23664.24,23438.98,3,50,150,1,44.905592029915304,0,0.0,38.6,806.04,764.26,14.84,Trail SL,1
2025-01-10,NIFTY,VWAP,PUT,NEUTRAL,-0.022,13:25:00,13:30:00,23488.65,81.31,23536.3,0.0,3,50,150,0,0.0,0,0.0,87.99,701.98,658.07,5.33,Hard close (15:15),6
2025-01-13,NIFTY,VWAP,PUT,BEARISH,-1.032,11:25:00,11:30:00,23240.8,56.89,23274.2,0.0,3,50,150,1,79.48810862341905,1,89.8304978128826,83.03,3784.02,3740.28,43.07,Trail SL,3
2025-01-15,NIFTY,VWAP,PUT,NEUTRAL,0.188,11:30:00,11:35:00,23213.1,32.8,23248.95,0.0,3,50,150,0,0.0,0,0.0,26.43,-1254.92,-1296.06,-25.56,Hard SL,1
2025-01-17,NIFTY,ORB,PUT,BEARISH,-0.316,10:45:00,10:50:00,23149.15,80.14,23204.56,22979.47,3,50,150,0,0.0,0,0.0,68.06,-2111.43,-2154.45,-17.7,Hard SL,6
2025-01-22,NIFTY,VWAP,PUT,NEUTRAL,0.2,10:35:00,10:40:00,23074.25,32.61,23114.5,0.0,3,50,150,0,0.0,0,0.0,25.56,-1358.2,-1399.31,-27.76,Hard SL,1
2025-01-24,NIFTY,ORB,CALL,NEUTRAL,-0.14,11:40:00,11:45:00,23321.95,80.73,23257.77,23463.42,3,50,150,0,0.0,0,0.0,60.07,-3398.28,-3440.94,-28.07,SL hit,6
2025-01-28,NIFTY,ORB,CALL,BULLISH,0.629,11:35:00,11:40:00,22997.3,45.96,22943.84,23121.5,3,50,150,0,0.0,0,0.0,49.37,212.11,169.93,2.41,Trail SL,2
2025-01-29,NIFTY,ORB,CALL,NEUTRAL,0.22,10:55:00,11:00:00,23122.75,32.68,23041.84,23209.87,3,50,150,0,0.0,0,0.0,24.28,-1560.69,-1601.73,-31.7,Hard SL,1
2025-01-29,NIFTY,VWAP,PUT,NEUTRAL,0.22,11:20:00,11:25:00,22997.5,32.5,23090.85,0.0,3,50,150,0,0.0,0,0.0,16.87,-2645.17,-2685.89,-53.45,Hard SL,1
2025-02-01,NIFTY,VWAP,PUT,NEUTRAL,-0.022,11:45:00,11:50:00,23538.1,74.38,23629.05,0.0,3,50,150,1,100.0,0,0.0,83.99,1941.79,1897.81,16.78,Trail SL,5
2025-02-04,NIFTY,ORB,PUT,BULLISH,0.643,10:35:00,10:40:00,23426.45,46.82,23507.74,23338.0,1,50,50,0,0.0,0,0.0,39.71,-455.66,-496.24,-20.75,Hard SL,2
2025-02-04,NIFTY,ORB,CALL,BULLISH,0.643,11:45:00,11:50:00,23599.0,47.16,23545.46,23715.2,3,50,150,0,0.0,0,0.0,39.82,-1401.73,-1443.48,-19.98,Hard SL,2
2025-02-14,NIFTY,ORB,PUT,BULLISH,0.335,10:35:00,10:40:00,22951.15,79.45,23045.15,22817.45,1,50,50,0,0.0,0,0.0,89.03,378.95,337.63,8.39,Trail SL,6
2025-02-14,NIFTY,ORB,PUT,BULLISH,0.335,11:10:00,11:15:00,22893.35,79.25,23045.15,22817.45,1,50,50,0,0.0,0,0.0,96.09,741.82,700.39,17.46,TP hit,6
2025-02-19,NIFTY,ORB,CALL,BEARISH,-0.331,10:45:00,10:50:00,22994.0,32.49,22883.1,23058.6,1,50,50,0,0.0,0,0.0,25.86,-431.27,-471.65,-28.17,Hard SL,1
2025-02-19,NIFTY,ORB,CALL,BEARISH,-0.331,10:50:00,10:55:00,22964.5,32.45,22883.1,23058.6,1,50,50,0,0.0,0,0.0,24.31,-507.17,-547.52,-32.74,Hard SL,1
2025-02-21,NIFTY,ORB,PUT,NEUTRAL,-0.22,11:05:00,11:10:00,22744.05,78.73,22864.12,22717.88,2,50,100,0,0.0,0,0.0,63.97,-1676.33,-1718.22,-21.55,Hard SL,6
2025-03-05,NIFTY,ORB,CALL,NEUTRAL,-0.033,11:35:00,11:40:00,22329.2,31.56,22195.48,22523.8,2,50,100,1,43.168337484821656,0,0.0,39.11,757.76,716.56,22.01,Trail SL,1
