date,index,direction,sweep_time,level_price,level_kind,wick_pts,rr,adx,trend,entry_spot,sl_spot,tp_spot,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-05-06,NIFTY,PUT,09:35:00,22577.15,OR_H,11.65,2.0,34.8,BEAR,22485.9,22595.58,22266.55,122.31,128.48,1,50,50,108.67,66.77,1.09,No-run exit,3
2024-05-07,NIFTY,PUT,09:50:00,22446.75,SWING_H,36.05,2.0,7.9,BEAR,22425.3,22489.54,22296.81,99.6,158.94,1,50,50,2767.2,2724.84,54.72,Target hit,2
2024-05-08,NIFTY,CALL,09:35:00,22232.05,PDL,15.2,2.0,27.1,BEAR,22262.5,22210.18,22367.13,69.92,71.72,1,50,50,-110.08,-151.13,-4.32,No-run exit,1
2024-05-09,NIFTY,CALL,11:35:00,22148.0,SWING_L,22.55,2.0,10.1,NEUTRAL,22163.9,22118.81,22254.08,184.16,176.15,1,50,50,-600.39,-643.0,-6.98,No-run exit,7
2024-05-13,NIFTY,CALL,11:35:00,21950.3,PDL,17.35,2.0,19.6,NEUTRAL,21979.85,21926.37,22086.81,119.56,114.99,1,50,50,-428.29,-469.98,-7.86,No-run exit,3
2024-05-14,NIFTY,PUT,09:50:00,22131.65,PDH,13.95,2.0,12.1,BULL,22121.95,22152.24,22061.36,98.25,103.13,1,50,50,44.18,2.67,0.05,No-run exit,2
2024-05-16,NIFTY,PUT,09:35:00,22297.55,PDH,19.1,2.0,8.1,BULL,22260.35,22323.34,22134.36,171.24,173.04,1,50,50,-109.77,-152.34,-1.78,No-run exit,6
2024-05-17,NIFTY,CALL,09:55:00,22372.75,SWING_L,21.1,2.0,18.5,BULL,22407.05,22344.94,22531.26,157.35,164.92,1,50,50,178.3,135.85,1.73,No-run exit,5
2024-05-27,NIFTY,CALL,10:25:00,22974.55,OR_L,32.75,2.0,36.0,NEUTRAL,22984.4,22934.92,23083.37,125.03,131.25,1,50,50,111.13,69.19,1.11,No-run exit,3
2024-05-28,NIFTY,CALL,09:45:00,22957.5,OR_L,15.65,2.0,34.5,NEUTRAL,22971.15,22934.97,23043.52,102.02,81.7,1,50,50,-1216.09,-1257.28,-24.65,SL hit,2
2024-05-31,NIFTY,PUT,09:55:00,22602.25,SWING_H,22.6,2.0,35.9,NEUTRAL,22576.9,22631.64,22467.43,173.68,185.47,1,50,50,389.64,346.89,3.99,No-run exit,6
2024-06-03,NIFTY,CALL,09:50:00,23082.7,OR_L,20.4,2.0,11.5,NEUTRAL,23128.1,23055.38,23273.54,125.81,128.25,1,50,50,-77.98,-119.87,-1.91,No-run exit,3
2024-06-04,NIFTY,CALL,09:35:00,22479.4,OR_L,89.55,2.0,54.2,BULL,22652.9,22383.13,23192.43,100.61,100.59,1,50,50,-201.08,-242.55,-4.82,No-run exit,2
2024-06-05,NIFTY,PUT,10:20:00,22052.85,SWING_H,23.75,2.0,40.5,BEAR,21987.15,22083.22,21795.0,69.05,40.03,1,50,50,-1650.87,-1691.44,-48.99,SL hit (theta),1
2024-06-06,NIFTY,PUT,09:40:00,22756.1,SWING_H,20.7,2.0,10.6,BULL,22732.8,22783.63,22631.13,188.89,159.88,1,50,50,-1650.6,-1692.97,-17.93,SL hit,7
2024-06-07,NIFTY,CALL,11:50:00,23161.0,SWING_L,36.9,2.0,6.4,BULL,23208.3,23117.16,23390.57,178.54,167.42,1,50,50,-756.17,-798.65,-8.95,No-run exit,6
2024-06-11,NIFTY,CALL,09:45:00,23227.15,PDL,14.85,2.0,23.0,NEUTRAL,23263.9,23205.34,23381.03,103.32,139.11,1,50,50,1589.39,1547.34,29.95,Target hit,2
2024-06-14,NIFTY,CALL,09:50:00,23353.9,PDL,15.15,2.0,11.1,BULL,23381.8,23331.75,23481.9,179.87,190.69,1,50,50,341.05,298.21,3.32,No-run exit,6
2024-06-19,NIFTY,PUT,10:00:00,23579.05,PDH,16.65,2.15,15.7,BULL,23570.1,23602.78,23499.7,74.02,124.04,1,50,50,2300.81,2258.98,61.04,Target hit,1
2024-06-20,NIFTY,CALL,10:25:00,23513.5,SWING_L,18.5,1.74,9.8,NEUTRAL,23524.4,23487.95,23587.7,195.47,197.05,1,50,50,-120.97,-163.9,-1.68,No-run exit,7
2024-06-21,NIFTY,CALL,09:55:00,23594.1,OR_L,27.05,2.0,16.5,BULL,23609.65,23559.98,23708.99,181.62,177.07,1,50,50,-427.27,-469.9,-5.17,No-run exit,6
2024-06-24,NIFTY,CALL,09:50:00,23398.2,PDL,15.25,2.0,13.8,BEAR,23414.0,23375.94,23490.13,127.36,165.32,1,50,50,1697.82,1655.37,26.0,Target hit,3
2024-06-25,NIFTY,PUT,09:55:00,23603.65,OR_H,13.7,2.0,13.5,BULL,23574.75,23624.44,23475.38,104.7,103.83,1,50,50,-243.36,-284.89,-5.44,No-run exit,2
2024-06-26,NIFTY,CALL,09:35:00,23689.3,OR_L,18.85,2.0,49.0,BULL,23708.25,23663.35,23798.05,74.46,69.98,1,50,50,-424.25,-465.27,-12.5,No-run exit,1
2024-07-04,NIFTY,PUT,10:20:00,24372.15,OR_H,13.85,2.0,20.8,BULL,24346.4,24393.32,24252.57,202.3,212.52,1,50,50,311.15,267.99,2.65,No-run exit,7
2024-07-05,NIFTY,CALL,09:35:00,24183.85,OR_L,13.5,1.62,10.8,NEUTRAL,24200.5,24163.1,24260.95,186.17,185.46,1,50,50,-235.26,-278.01,-2.99,No-run exit,6
2024-07-08,NIFTY,CALL,11:50:00,24283.1,OR_L,13.15,1.93,25.5,NEUTRAL,24296.95,24262.67,24363.0,132.17,108.0,1,50,50,-1408.34,-1449.93,-21.94,SL hit,3
2024-07-10,NIFTY,CALL,10:45:00,24168.85,WEEK_L,27.05,2.0,42.1,BULL,24194.45,24134.56,24314.24,75.98,79.5,1,50,50,-23.91,-65.08,-1.71,No-run exit,1
2024-07-11,NIFTY,CALL,09:45:00,24335.55,OR_L,15.25,2.0,23.5,NEUTRAL,24352.8,24313.0,24432.39,202.35,165.02,1,50,50,-2066.4,-2108.85,-20.84,SL hit,7
2024-07-12,NIFTY,PUT,09:55:00,24402.65,PDH,20.3,2.0,12.9,BULL,24381.65,24430.28,24284.4,187.56,183.9,1,50,50,-382.96,-425.69,-4.54,No-run exit,6
