date,index,direction,source,or_high,or_low,or_range_pct,watch_time,entry_time,entry_mode,adx,trend,entry_spot,sl_spot,tp_spot,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2025-05-13,NIFTY,CALL,EMA_BOUNCE,24973.8,24754.1,0.008875297425477022,10:00:00,10:35:00,EMA_BOUNCE,69.23,BULL,24695.25,24645.86,24744.64,109.68,139.95,1,50,50,1313.33,1271.26,23.18,Target hit,2
2025-05-15,NIFTY,CALL,EMA_BOUNCE,24706.75,24584.65,0.0049665136579125,10:30:00,10:55:00,EMA_BOUNCE,22.5,BULL,24780.3,24564.5,25211.9,205.9,122.22,1,50,50,-4383.87,-4425.68,-42.99,SL hit (theta),7
2025-05-21,NIFTY,PUT,EMA_BOUNCE,24766.15,24692.65,0.002976594249705884,12:00:00,12:40:00,EMA_BOUNCE,43.41,BEAR,24780.3,24829.86,24682.2,77.82,77.77,1,50,50,-202.29,-243.43,-6.26,No-run exit,1
2025-05-27,NIFTY,CALL,ORB,24976.1,24769.3,0.008349044987141311,11:15:00,11:30:00,RETEST,17.26,BULL,25021.55,24951.12,25331.75,111.13,64.37,1,50,50,-2537.92,-2578.86,-46.41,SL hit (theta),2
2025-06-06,NIFTY,CALL,EMA_BOUNCE,24763.35,24723.25,0.0016219550423184066,10:15:00,10:30:00,EMA_BOUNCE,31.42,BULL,24860.55,24735.75,25110.15,191.25,212.12,1,50,50,843.59,800.44,8.37,Hard close,6
2025-06-24,NIFTY,CALL,EMA_BOUNCE,25250.85,25150.0,0.004009940357852825,12:45:00,13:05:00,EMA_BOUNCE,38.15,BULL,25239.9,25166.0,25387.7,112.1,50.79,1,50,50,-3265.36,-3306.09,-58.98,SL hit (theta),2
2025-07-03,NIFTY,PUT,EMA_BOUNCE,25537.05,25429.75,0.00421946735614779,13:45:00,14:10:00,EMA_BOUNCE,31.25,BEAR,25492.1,25574.85,25326.6,211.82,244.99,1,50,50,1458.35,1414.71,13.36,Hard close,7
2025-07-10,NIFTY,PUT,ORB,25524.05,25446.35,0.0030534831125092884,10:30:00,10:45:00,RETEST,23.02,NEUTRAL,25403.55,25471.8,25287.0,211.08,214.3,1,50,50,-39.0,-82.19,-0.78,No-run exit,7
2025-07-28,NIFTY,PUT,EMA_BOUNCE,24799.8,24732.7,0.002713007475932613,10:30:00,10:45:00,EMA_BOUNCE,40.81,BEAR,24782.95,24885.4,24578.05,134.81,126.83,1,50,50,-599.21,-641.09,-9.51,No-run exit,3
2025-07-29,NIFTY,PUT,EMA_BOUNCE,24712.15,24598.6,0.004616116364346057,10:00:00,10:25:00,EMA_BOUNCE,43.46,BEAR,24632.9,24717.25,24464.2,109.4,100.65,1,50,50,-637.35,-678.83,-12.41,No-run exit,2
2025-09-29,NIFTY,PUT,EMA_BOUNCE,24743.75,24668.15,0.00306468056988459,11:30:00,11:45:00,EMA_BOUNCE,52.62,BEAR,24643.5,24735.3,24459.9,109.45,108.45,1,50,50,-249.95,-291.55,-5.33,No-run exit,2
2025-10-17,NIFTY,CALL,ORB,25604.65,25508.6,0.0037653967681488955,10:00:00,10:30:00,MOMENTUM,58.21,BULL,25691.1,25579.05,25835.18,197.63,211.87,1,50,50,512.21,469.07,4.75,No-run exit,6
2025-10-31,NIFTY,PUT,ORB,25927.8,25822.1,0.00409339286889915,11:00:00,11:25:00,MOMENTUM,29.08,BEAR,25777.7,25847.92,25619.15,198.3,183.78,1,50,50,-926.07,-968.8,-9.77,No-run exit,6
2025-11-06,NIFTY,PUT,EMA_BOUNCE,25679.15,25587.2,0.003593593671835946,10:00:00,10:15:00,EMA_BOUNCE,41.07,BEAR,25536.75,25639.7,25330.85,212.19,205.42,1,50,50,-538.47,-581.52,-5.48,No-run exit,7
2025-12-09,NIFTY,PUT,EMA_BOUNCE,25890.95,25797.05,0.0036399510796777715,11:30:00,12:15:00,EMA_BOUNCE,51.73,BEAR,25888.15,25939.93,25836.37,114.98,112.32,1,50,50,-332.99,-374.64,-6.52,No-run exit,2
2026-01-07,NIFTY,PUT,EMA_BOUNCE,26166.0,26104.3,0.0023635952697448593,10:15:00,11:05:00,EMA_BOUNCE,35.16,BEAR,26171.65,26223.99,26119.31,82.19,106.27,1,50,50,1003.89,962.33,23.42,Target hit,1
2026-01-16,NIFTY,PUT,EMA_BOUNCE,25743.25,25678.4,0.002525468876565461,12:15:00,12:40:00,EMA_BOUNCE,22.44,BEAR,25759.55,25829.2,25620.25,198.16,213.52,1,50,50,567.91,524.74,5.3,No-run exit,6
2026-01-21,NIFTY,PUT,EMA_BOUNCE,25277.75,25130.15,0.005873422960069818,13:45:00,14:20:00,EMA_BOUNCE,47.85,BEAR,25152.2,25208.9,25038.8,78.99,76.21,1,50,50,-339.19,-380.31,-9.63,No-run exit,1
2026-01-27,NIFTY,PUT,EMA_BOUNCE,25126.3,24932.55,0.007770966066447275,10:30:00,10:50:00,EMA_BOUNCE,36.07,BEAR,24994.7,25133.4,24717.3,111.01,59.76,1,50,50,-2762.54,-2803.4,-50.51,SL hit (theta),2
2026-01-30,NIFTY,CALL,EMA_BOUNCE,25285.95,25224.35,0.002442084731618543,13:30:00,13:50:00,EMA_BOUNCE,30.6,BULL,25329.6,25229.55,25529.7,194.85,198.59,1,50,50,-13.14,-56.09,-0.58,No-run exit,6
2026-02-20,NIFTY,PUT,EMA_BOUNCE,25485.85,25379.75,0.004180498231858018,13:00:00,13:35:00,EMA_BOUNCE,29.47,BEAR,25573.2,25624.35,25500.1,196.73,162.04,1,50,50,-1934.29,-1976.69,-20.1,SL hit,6
2026-02-26,NIFTY,PUT,EMA_BOUNCE,25567.6,25487.85,0.0031289418291460445,11:30:00,11:50:00,EMA_BOUNCE,26.15,BEAR,25469.65,25537.25,25334.45,211.63,225.14,1,50,50,475.31,431.96,4.08,No-run exit,7
2026-03-12,NIFTY,PUT,EMA_BOUNCE,23690.85,23556.3,0.0057118477859425835,13:45:00,14:05:00,EMA_BOUNCE,46.05,BEAR,23721.5,23801.25,23562.0,197.1,190.82,1,50,50,-514.1,-556.94,-5.65,No-run exit,7
2026-04-01,NIFTY,PUT,EMA_BOUNCE,22930.4,22809.0,0.005322460432285565,13:30:00,14:20:00,EMA_BOUNCE,32.36,BEAR,22723.4,22808.35,22553.5,71.36,106.65,1,50,50,1564.53,1522.96,42.68,Hard close,1
2026-04-07,NIFTY,CALL,EMA_BOUNCE,22893.4,22719.3,0.0076630882113446356,11:15:00,11:50:00,EMA_BOUNCE,44.49,BULL,22942.95,22852.15,23124.55,101.9,94.66,1,50,50,-561.94,-603.33,-11.84,No-run exit,2
