date,index,direction,or_high,or_low,or_range_pct,breakout_time,breakout_price,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-12-03,NIFTY,CALL,24377.9,24282.65,0.0039225537575182275,10:30:00,24407.45,108.4,110.04,1,50,50,-118.07,-159.69,-2.95,Hard close,2
2024-12-09,NIFTY,PUT,24705.0,24621.85,0.0033770817383747143,10:00:00,24584.9,133.73,102.31,1,50,50,-1771.21,-1812.72,-27.11,SL hit,3
2024-12-13,NIFTY,PUT,24520.8,24405.9,0.004707878013103299,10:00:00,24353.1,187.34,73.65,1,50,50,-5884.38,-5925.45,-63.26,SL hit,6
2024-12-16,NIFTY,PUT,24781.25,24702.95,0.003169661922968685,10:15:00,24665.25,134.17,99.34,1,50,50,-1941.63,-1983.09,-29.56,SL hit,3
2024-12-18,NIFTY,PUT,24356.0,24273.1,0.0034153033605102546,10:00:00,24237.5,76.12,42.62,1,50,50,-1874.81,-1915.42,-50.33,SL hit,1
2024-12-20,NIFTY,PUT,23990.85,23887.9,0.004309713285805663,10:00:00,23850.4,183.47,136.53,1,50,50,-2546.8,-2588.82,-28.22,SL hit,6
2024-12-23,NIFTY,CALL,23806.5,23721.95,0.0035642095190319208,11:00:00,23834.35,129.65,90.91,1,50,50,-2137.22,-2178.55,-33.61,SL hit,3
2024-12-26,NIFTY,PUT,23854.5,23773.6,0.0034029343473433327,10:00:00,23749.75,197.34,157.77,1,50,50,-2178.62,-2220.95,-22.51,SL hit,7
2025-01-01,NIFTY,CALL,23683.6,23607.05,0.0032426753872253954,10:45:00,23739.4,74.55,47.07,1,50,50,-1574.07,-1614.74,-43.32,SL hit,1
2025-01-06,NIFTY,PUT,24089.95,24016.4,0.003062490631401845,10:15:00,23966.95,130.37,235.35,1,50,50,5048.86,5005.36,76.79,Target hit,3
2025-01-08,NIFTY,PUT,23751.85,23632.35,0.005056627885081256,10:15:00,23607.65,74.14,48.81,1,50,50,-1466.69,-1507.39,-40.66,SL hit,1
2025-01-09,NIFTY,PUT,23689.5,23600.8,0.003758347174672076,10:45:00,23544.15,195.63,176.69,1,50,50,-1147.14,-1189.76,-12.16,Hard close,7
2025-01-10,NIFTY,PUT,23596.0,23515.6,0.00341900695708387,10:00:00,23396.55,179.98,141.93,1,50,50,-2102.25,-2144.35,-23.83,SL hit,6
2025-01-13,NIFTY,CALL,23263.8,23172.7,0.0039313502526679475,10:15:00,23319.35,126.85,100.38,1,50,50,-1523.37,-1564.85,-24.67,SL hit,3
2025-01-16,NIFTY,PUT,23391.65,23315.75,0.003255310251653987,10:45:00,23289.75,193.52,152.13,1,50,50,-2269.71,-2311.96,-23.89,SL hit,7
2025-01-17,NIFTY,PUT,23292.1,23167.05,0.005397752411291005,10:45:00,23107.65,177.76,139.81,1,50,50,-2097.74,-2139.81,-24.08,SL hit,6
2025-01-20,NIFTY,CALL,23308.35,23189.7,0.005116495685584454,11:30:00,23372.1,127.13,101.4,1,50,50,-1486.62,-1528.11,-24.04,SL hit,3
2025-01-24,NIFTY,CALL,23292.05,23177.8,0.004929285782084581,11:30:00,23321.75,179.41,117.12,1,50,50,-3314.4,-3356.12,-37.41,SL hit,6
2025-01-27,NIFTY,PUT,22987.5,22910.85,0.0033455764408566882,10:15:00,22853.9,124.32,98.22,1,50,50,-1504.89,-1546.33,-24.88,SL hit,3
2025-01-28,NIFTY,CALL,22973.45,22884.2,0.003900070791200916,11:30:00,23007.3,102.18,74.66,1,50,50,-1576.12,-1617.21,-31.65,SL hit,2
2025-01-29,NIFTY,CALL,23050.05,22978.35,0.0031203284831156602,10:15:00,23095.25,72.53,54.73,1,50,50,-1090.0,-1130.79,-31.18,SL hit,1
2025-02-01,NIFTY,CALL,23595.45,23479.05,0.004957611146958734,11:30:00,23627.25,165.92,63.2,1,50,50,-5335.8,-5376.72,-64.81,SL hit,5
2025-02-06,NIFTY,PUT,23773.55,23686.7,0.0036666145980655197,10:00:00,23627.8,196.33,176.99,1,50,50,-1167.12,-1209.74,-12.32,Hard close,7
2025-02-07,NIFTY,PUT,23683.9,23566.85,0.004966722323942441,10:15:00,23536.6,181.06,138.66,1,50,50,-2319.78,-2361.83,-26.09,SL hit,6
2025-02-10,NIFTY,PUT,23568.6,23454.4,0.004869022443549913,10:00:00,23373.1,127.14,86.73,1,50,50,-2220.65,-2261.92,-35.58,SL hit,3
2025-02-11,NIFTY,PUT,23390.05,23295.75,0.004047948660163303,10:30:00,23259.3,103.3,205.06,1,50,50,4887.88,4844.84,93.8,Target hit,2
2025-02-12,NIFTY,PUT,23097.95,22978.4,0.0052027121122445105,10:00:00,22830.6,71.7,57.21,1,50,50,-924.27,-965.1,-26.92,SL hit,1
2025-02-13,NIFTY,CALL,23115.05,22992.2,0.005343116361200692,10:00:00,23171.7,192.54,153.09,1,50,50,-2172.49,-2214.76,-23.01,SL hit,7
2025-02-14,NIFTY,PUT,23133.7,23026.75,0.0046445981304352865,10:30:00,22924.0,176.35,120.31,1,50,50,-3002.18,-3043.96,-34.52,SL hit,6
2025-02-17,NIFTY,CALL,22874.75,22725.45,0.006569726892096714,10:30:00,22916.15,124.65,66.68,1,50,50,-3098.34,-3139.31,-50.37,SL hit,3
2025-02-18,NIFTY,PUT,22992.5,22876.85,0.005055328858649747,10:15:00,22827.15,101.38,77.8,1,50,50,-1379.14,-1420.27,-28.02,SL hit,2
2025-02-21,NIFTY,PUT,22921.0,22849.65,0.0031225861227633044,10:00:00,22760.65,175.09,134.57,1,50,50,-2226.18,-2268.17,-25.91,SL hit,6
2025-02-28,NIFTY,PUT,22450.35,22308.2,0.00637209635918621,10:00:00,22262.15,171.26,175.15,1,50,50,-5.68,-48.28,-0.56,Hard close,6
