signal_id,date,time,index,direction,direction_int,conviction_score,lot_size,close,vwap,vwap_distance,rsi,adx,ema_fast,ema_slow,pcr,iv_rank,pdh,pdl,weekly_high,weekly_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
3F6C592B,2025-10-15,13:45:00,SENSEX,CALL,1,65,1,82685.85,82474.63,211.22,72.72,22.22,82508.15,82428.63,1.0,50.0,82573.37,81781.62,82727.02,81667.68,2,86946.51,3669.8,733.96,366.98,293.58,550.47,309.79,-652.79,-17.79,Max hold (60 min),1,0
280B8514,2025-10-24,13:30:00,SENSEX,PUT,0,66,1,84135.78,84378.06,-242.28,30.58,23.31,84371.57,84440.82,1.0,50.0,85290.06,84445.25,85290.06,83206.08,7,86293.72,,,697.74,558.19,1046.61,,,,premium_out_of_range,0,-1
F66CB24C,2025-10-24,13:45:00,SENSEX,PUT,0,75,2,83972.92,84359.82,-386.9,24.6,28.96,84333.6,84422.47,1.0,50.0,85290.06,84445.25,85290.06,83206.08,7,86293.72,,,698.41,558.73,1047.62,,,,premium_out_of_range,0,-1
F2D21D62,2025-10-24,14:00:00,SENSEX,PUT,0,75,2,84054.54,84342.33,-287.79,31.8,33.96,84307.03,84408.04,1.0,50.0,85290.06,84445.25,85290.06,83206.08,7,86293.72,,,698.85,559.08,1048.28,,,,premium_out_of_range,0,-1
D2752614,2025-10-24,14:15:00,SENSEX,PUT,0,69,1,84106.79,84330.26,-223.47,36.01,35.99,84287.96,84396.23,1.0,50.0,85290.06,84445.25,85290.06,83206.08,7,86293.72,,,699.29,559.43,1048.93,,,,premium_out_of_range,0,-1
F70F3FCA,2025-10-24,14:30:00,SENSEX,PUT,0,66,1,84160.16,84320.78,-160.62,40.08,37.64,84275.78,84386.97,1.0,50.0,85290.06,84445.25,85290.06,83206.08,7,86293.72,,,698.74,558.99,1048.11,,,,premium_out_of_range,0,-1
56E0D5A0,2025-11-11,14:30:00,SENSEX,CALL,1,72,2,83834.98,83428.8,406.18,81.61,27.58,83504.72,83420.35,1.0,50.0,83754.49,83197.67,84068.01,82670.95,3,86293.72,9111.8,1822.36,455.59,364.47,683.38,464.78,60.98,0.67,Profit lock (14:00),1,1
EAE315DF,2025-11-19,14:15:00,SENSEX,CALL,1,69,1,85094.21,84908.27,185.94,73.1,21.61,84935.35,84831.48,1.0,50.0,85042.41,84558.36,85236.77,84029.32,2,86354.7,3782.0,756.4,378.2,302.56,567.3,392.07,57.53,1.52,Profit lock (14:00),1,1
DF197064,2025-11-20,13:30:00,SENSEX,CALL,1,65,1,85674.2,85438.43,235.77,86.57,24.05,85468.54,85411.49,1.0,50.0,85236.77,84525.98,85801.7,84029.32,1,86412.23,2690.2,538.04,269.02,215.22,403.53,297.52,204.07,7.59,Profit lock (14:00),1,1
ECD2D55B,2025-11-26,13:15:00,SENSEX,CALL,1,68,1,85545.66,85283.76,261.9,89.6,25.54,85273.2,85088.7,1.0,50.0,85110.24,84536.73,85801.7,84478.13,2,86616.3,3794.9,758.98,379.49,303.59,569.24,421.88,342.65,9.03,Profit lock (14:00),1,1
