date,direction,gap_pct,entry_premium,entry_spot,lots,candles_held_5min,partial1_lots,partial1_premium,partial2_lots,partial2_premium,final_premium,final_reason,highest_premium,trailing_sl_at_exit,adx_val,rsi_val,range_ratio,ema9,gross_pnl,theta_cost,slippage_cost,brokerage,stt_cost,net_pnl,net_pnl_pct
2024-11-06,CALL,0.64,165.82,52320.65,1,2,0,0.0,0,0.0,157.65,NO_MOVE,165.82,0.0,31.9,57.9,2.26,52282.4,-122.47,1.33,22.5,40.0,0.71,-185.68,-0.19
2024-11-14,PUT,-0.47,387.83,50220.35,1,8,0,0.0,0,0.0,427.47,TRAIL_SL,504.68,428.97,25.1,38.9,1.7,50359.8,594.64,12.41,22.5,40.0,1.92,530.21,0.53
2024-11-19,CALL,0.43,160.77,50712.7,1,10,0,0.0,0,0.0,204.33,TRAIL_SL,242.16,205.83,30.6,77.4,2.07,50520.1,653.52,6.43,22.5,40.0,0.92,590.1,0.59
2024-11-25,CALL,1.85,233.61,52260.65,1,2,0,0.0,0,0.0,230.53,NO_MOVE,233.61,0.0,47.7,73.3,1.8,52193.1,-46.23,1.87,22.5,40.0,1.04,-109.77,-0.11
2024-12-03,CALL,0.46,166.7,52601.45,1,2,0,0.0,0,0.0,160.15,NO_MOVE,176.71,0.0,55.4,80.4,1.66,52490.1,-98.2,1.33,22.5,40.0,0.72,-161.42,-0.16
2024-12-19,PUT,-1.49,397.4,51463.55,1,6,0,0.0,0,0.0,410.02,NO_MOVE,411.52,0.0,34.1,31.1,1.43,51567.1,189.35,9.54,22.5,40.0,1.85,125.01,0.13
2024-12-20,PUT,-0.41,361.21,51222.2,1,2,0,0.0,0,0.0,368.65,NO_MOVE,372.64,0.0,20.1,35.1,3.27,51437.4,111.71,2.89,22.5,40.0,1.66,47.55,0.05
2024-12-23,CALL,0.34,229.65,51368.0,1,2,0,0.0,0,0.0,219.77,NO_MOVE,229.65,0.0,39.3,66.1,1.66,51225.8,-148.13,1.84,22.5,40.0,0.99,-211.62,-0.21
2024-12-31,PUT,-0.49,160.95,50772.7,1,3,0,0.0,0,0.0,167.24,NO_MOVE,168.74,0.0,27.4,39.9,1.45,50849.2,94.3,1.93,22.5,40.0,0.75,31.05,0.03
2025-01-13,PUT,-1.06,216.42,48390.75,1,2,0,0.0,0,0.0,335.05,TREND_CHECK_EXIT,336.55,286.07,41.1,33.6,1.48,48531.2,1779.46,1.73,22.5,40.0,1.51,1715.45,1.72
