date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,tp_spot,lots,lot_size,quantity,partial1_lots,partial1_px,partial2_lots,partial2_px,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-12-04,BANKNIFTY,VWAP,PUT,NEUTRAL,0.216,11:55:00,12:00:00,52961.3,440.06,53160.95,0.0,1,15,15,0,0.0,0,0.0,360.24,-1227.31,-1268.92,-19.18,Hard SL,7
2024-12-05,BANKNIFTY,ORB,PUT,NEUTRAL,0.223,10:55:00,11:00:00,52908.2,407.01,53230.54,52858.3,1,15,15,0,0.0,0,0.0,331.65,-1160.46,-1201.95,-19.64,Hard SL,6
2024-12-10,BANKNIFTY,VWAP,PUT,NEUTRAL,0.055,12:15:00,12:20:00,53456.6,167.88,53528.1,0.0,1,15,15,0,0.0,0,0.0,191.06,317.75,276.89,10.93,Trail SL,1
2024-12-13,BANKNIFTY,ORB,PUT,NEUTRAL,-0.216,10:30:00,10:35:00,52339.7,367.55,52911.57,52094.55,1,15,15,0,0.0,0,0.0,311.12,-876.42,-917.81,-16.6,Hard SL,5
2024-12-13,BANKNIFTY,ORB,PUT,NEUTRAL,-0.216,11:15:00,11:20:00,52566.2,369.14,52911.57,52094.55,1,15,15,0,0.0,0,0.0,280.49,-1359.69,-1400.95,-25.23,Hard SL,5
2024-12-17,BANKNIFTY,VWAP,CALL,NEUTRAL,-0.181,10:55:00,11:00:00,53216.2,167.13,53097.0,0.0,1,15,15,0,0.0,0,0.0,133.76,-530.6,-571.19,-22.65,Hard SL,1
2024-12-18,BANKNIFTY,ORB,PUT,NEUTRAL,-0.176,10:30:00,10:35:00,52452.85,403.51,52629.72,52134.0,1,15,15,0,0.0,0,0.0,434.29,431.74,389.79,6.42,Trail SL,6
2024-12-19,BANKNIFTY,ORB,CALL,BEARISH,-1.488,11:35:00,11:40:00,51746.9,363.39,51508.12,52136.5,1,15,15,0,0.0,0,0.0,288.13,-1158.93,-1200.22,-21.96,Hard SL,5
2024-12-23,BANKNIFTY,VWAP,PUT,BULLISH,0.338,11:55:00,12:00:00,51281.5,161.05,51382.65,0.0,1,15,15,0,0.0,0,0.0,178.22,227.62,186.83,7.69,Trail SL,1
2024-12-24,BANKNIFTY,VWAP,PUT,NEUTRAL,0.016,11:30:00,11:35:00,51219.75,160.86,51277.75,0.0,2,15,30,0,0.0,0,0.0,122.22,-1219.25,-1260.34,-25.96,SL hit,1
2024-12-26,BANKNIFTY,ORB,PUT,NEUTRAL,0.209,10:45:00,10:50:00,51116.65,393.23,51476.35,50798.38,1,15,15,0,0.0,0,0.0,325.43,-1047.06,-1088.52,-18.41,Hard SL,6
2024-12-26,BANKNIFTY,ORB,PUT,NEUTRAL,0.209,11:35:00,11:40:00,51173.0,393.66,51476.35,50798.38,1,15,15,0,0.0,0,0.0,388.59,-106.05,-147.79,-2.5,NO_MOVE_EXTENDED,6
2024-12-30,BANKNIFTY,ORB,CALL,NEUTRAL,-0.18,11:25:00,11:30:00,51668.15,229.48,51315.01,51697.15,1,15,15,0,0.0,0,0.0,245.99,217.61,176.5,5.11,TP hit,2
2024-12-31,BANKNIFTY,PDH_PDL,CALL,BEARISH,-0.494,11:40:00,11:45:00,50841.4,159.67,50592.21,50798.96,1,15,15,0,0.0,0,0.0,161.76,1.29,-39.43,-1.64,VWAP TP,1
2025-01-01,BANKNIFTY,ORB,CALL,NEUTRAL,-0.083,10:50:00,10:55:00,51097.65,424.58,50851.19,51568.22,1,15,15,0,0.0,0,0.0,358.83,-1016.18,-1057.8,-16.57,Hard SL,7
2025-01-03,BANKNIFTY,ORB,PUT,NEUTRAL,-0.075,11:05:00,11:10:00,51178.1,359.4,51454.78,50897.22,1,15,15,0,0.0,0,0.0,269.37,-1380.51,-1421.72,-26.3,Hard SL,5
2025-01-03,BANKNIFTY,VWAP,CALL,NEUTRAL,-0.075,11:20:00,11:25:00,51351.45,360.61,51249.25,0.0,1,15,15,0,0.0,0,0.0,298.64,-959.54,-1000.88,-18.45,Hard SL,5
2025-01-06,BANKNIFTY,ORB,PUT,NEUTRAL,0.032,11:10:00,11:15:00,50260.2,223.23,50673.79,49767.85,1,15,15,0,0.0,0,0.0,188.34,-553.3,-594.15,-17.66,Hard SL,2
