date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,sl_spot,tp_spot,sl_pts,lots,lot_size,quantity,exit_spot,gross_pnl,net_pnl,pnl_pct,exit_reason
2024-09-20,BANKNIFTY,ORB,CALL,BULLISH,0.359,10:35:00,10:40:00,53507.8,53347.86,53730.35,159.94,1,15,15,53600.45,1374.75,1254.35,0.16,NO_MOVE_EXTENDED
2024-09-23,BANKNIFTY,VWAP,PUT,NEUTRAL,-0.036,11:45:00,11:50:00,53899.05,54006.85,0.0,107.8,1,15,15,53954.7,-819.75,-940.68,-0.12,NO_MOVE_TREND_LOST
2024-10-04,BANKNIFTY,ORB,CALL,BEARISH,-0.419,10:40:00,10:45:00,52043.7,51887.79,52462.63,155.91,1,15,15,51845.45,-2988.75,-3106.52,-0.4,SL hit
2024-10-07,BANKNIFTY,ORB,PUT,NEUTRAL,-0.024,10:45:00,10:50:00,51247.1,51401.55,51031.68,154.45,1,15,15,51504.4,-3844.5,-3961.76,-0.52,SL hit
2024-10-08,BANKNIFTY,SMC,PUT,NEUTRAL,0.234,13:40:00,13:45:00,51084.7,51191.5,50871.1,106.8,1,15,15,51136.35,-759.75,-876.45,-0.11,NO_MOVE_TREND_LOST
2024-10-09,BANKNIFTY,ORB,CALL,NEUTRAL,0.168,10:35:00,10:40:00,51557.45,51403.76,51720.67,153.69,1,15,15,51283.25,-4128.0,-4244.92,-0.55,SL hit
2024-10-11,BANKNIFTY,ORB,PUT,NEUTRAL,-0.081,11:15:00,11:20:00,51117.4,51271.22,50841.5,153.82,1,15,15,51127.25,-132.75,-249.44,-0.03,NO_MOVE_EXTENDED
2024-10-15,BANKNIFTY,VWAP,CALL,NEUTRAL,0.187,10:35:00,10:40:00,51920.0,51816.16,0.0,103.84,1,15,15,51802.25,-1781.25,-1898.95,-0.24,SL hit
2024-10-17,BANKNIFTY,ORB,PUT,NEUTRAL,0.102,11:25:00,11:30:00,51184.75,51339.16,50777.7,154.41,1,15,15,51349.2,-2451.75,-2568.77,-0.33,SL hit
2024-10-21,BANKNIFTY,SMC,CALL,BULLISH,0.427,12:15:00,12:20:00,51976.55,51877.86,52173.92,98.69,1,15,15,51964.15,-201.0,-318.95,-0.04,Hard close (15:15)
2024-10-22,BANKNIFTY,ORB,PUT,BULLISH,0.417,11:20:00,11:25:00,51806.9,51962.46,51444.37,155.56,1,15,15,51435.05,5592.75,5475.6,0.7,TP hit
2024-10-24,BANKNIFTY,ORB,CALL,NEUTRAL,0.06,10:30:00,10:35:00,51764.75,51610.27,51933.97,154.48,1,15,15,51568.15,-2964.0,-3081.35,-0.4,SL hit
2024-10-25,BANKNIFTY,ORB,PUT,BEARISH,-0.38,11:15:00,11:20:00,50689.8,50842.89,50325.17,153.09,1,15,15,50859.8,-2535.0,-2651.29,-0.35,Hard close (15:15)
