date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,lots,lot_size,quantity,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-05-06,BANKNIFTY,VWAP,PUT,BULLISH,0.607,11:20:00,11:25:00,49046.95,217.84,49140.95,1,15,15,73.76,2131.14,2090.81,64.28,Hard close (14:30),2
2024-05-07,BANKNIFTY,ORB,PUT,NEUTRAL,0.068,10:30:00,10:35:00,48417.4,152.06,48870.17,1,15,15,85.78,964.17,923.78,40.77,Hard close (14:30),1
2024-05-08,BANKNIFTY,VWAP,CALL,BEARISH,-0.314,11:15:00,11:20:00,48153.85,400.12,47948.25,1,15,15,404.62,-97.51,-139.33,-2.33,Hard close (14:30),7
2024-05-10,BANKNIFTY,VWAP,PUT,NEUTRAL,0.084,10:50:00,10:55:00,47599.05,334.26,47666.75,1,15,15,193.19,2086.09,2045.21,40.91,Hard close (14:30),5
2024-05-13,BANKNIFTY,VWAP,CALL,NEUTRAL,-0.108,11:05:00,11:10:00,47164.85,209.48,47069.25,1,15,15,58.66,2232.35,2192.09,70.1,Short TP,2
2024-05-16,BANKNIFTY,ORB,PUT,BULLISH,0.493,10:45:00,10:50:00,47527.95,365.62,47821.16,1,15,15,360.41,48.17,6.55,0.12,Hard close (14:30),6
2024-05-17,BANKNIFTY,ORB,CALL,NEUTRAL,-0.28,11:10:00,11:15:00,48145.15,338.1,47914.76,1,15,15,294.69,621.18,579.85,11.47,Hard close (14:30),5
2024-05-21,BANKNIFTY,VWAP,CALL,BEARISH,-0.574,11:00:00,11:05:00,48108.15,151.09,48055.75,1,15,15,133.44,234.74,194.13,8.62,Hard close (14:30),1
2024-05-22,BANKNIFTY,SMC,PUT,NEUTRAL,0.258,13:55:00,14:00:00,47740.7,396.68,47797.2,1,15,15,371.48,348.06,306.38,5.16,Hard close (14:30),7
2024-05-24,BANKNIFTY,PDH_PDL,PUT,NEUTRAL,-0.142,10:25:00,10:30:00,48742.5,342.29,48925.35,1,15,15,374.01,-505.75,-547.44,-10.69,Hard close (14:30),5
2024-05-27,BANKNIFTY,ORB,CALL,BULLISH,0.321,11:50:00,11:55:00,49405.3,219.43,49222.75,1,15,15,94.88,1838.2,1797.77,54.87,Hard close (14:30),2
2024-05-29,BANKNIFTY,ORB,PUT,BEARISH,-0.557,11:15:00,11:20:00,48579.15,403.65,48846.44,1,15,15,316.4,1278.82,1237.39,20.49,Hard close (14:30),7
2024-05-31,BANKNIFTY,ORB,PUT,NEUTRAL,0.148,11:15:00,11:20:00,48647.4,341.62,48935.86,1,15,15,331.96,114.94,73.44,1.44,Hard close (14:30),5
2024-06-03,BANKNIFTY,SMC,CALL,BULLISH,3.925,13:40:00,13:45:00,50820.55,225.71,50591.07,1,15,15,234.62,-163.71,-204.77,-6.08,Hard close (14:30),2
2024-06-06,BANKNIFTY,SMC,CALL,BULLISH,1.186,11:50:00,11:55:00,49368.1,379.78,49141.05,1,15,15,474.44,-1449.96,-1492.1,-26.26,Hard close (14:30),6
2024-06-07,BANKNIFTY,ORB,CALL,NEUTRAL,-0.028,10:35:00,10:40:00,49614.95,348.42,49342.15,1,15,15,212.46,2009.36,1968.4,37.77,Hard close (14:30),5
2024-06-11,BANKNIFTY,ORB,CALL,NEUTRAL,0.124,10:30:00,10:35:00,49899.1,156.71,49695.96,1,15,15,161.61,-103.45,-144.18,-6.17,Hard close (14:30),1
2024-06-12,BANKNIFTY,PDH_PDL,PUT,BULLISH,0.413,13:40:00,13:45:00,49966.05,415.17,50014.29,1,15,15,373.23,599.17,557.49,8.97,Hard close (14:30),7
2024-06-19,BANKNIFTY,VWAP,CALL,NEUTRAL,0.255,10:55:00,11:00:00,51028.0,424.0,50735.75,1,15,15,97.05,4874.31,4833.87,76.18,Short TP,7
2024-06-21,BANKNIFTY,ORB,PUT,BULLISH,0.322,10:45:00,10:50:00,51383.0,360.84,51639.23,1,15,15,288.12,1060.77,1019.47,18.89,Hard close (14:30),5
2024-06-24,BANKNIFTY,PDH_PDL,CALL,BEARISH,-0.538,10:20:00,10:25:00,51356.8,228.1,51154.01,1,15,15,66.88,2388.26,2347.96,68.93,Short TP,2
2024-06-25,BANKNIFTY,ORB,CALL,NEUTRAL,0.096,10:45:00,10:50:00,52161.3,163.81,51905.75,1,15,15,34.05,1916.33,1876.17,76.82,Short TP,1
2024-06-25,BANKNIFTY,SMC,PUT,NEUTRAL,0.096,13:10:00,13:15:00,52490.75,164.85,52548.0,1,15,15,185.07,-333.26,-374.1,-15.22,Hard close (14:30),1
