date,index,direction,or_high,or_low,or_range_pct,breakout_time,breakout_price,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-08-07,SENSEX,PUT,79639.2,79354.15,0.0035921246714885474,10:00:00,79181.93,351.68,260.64,1,10,10,-950.35,-991.13,-28.18,SL hit,2
2024-08-08,SENSEX,PUT,79422.15,79142.04,0.0035393325721702474,10:00:00,79003.53,248.11,115.59,2,10,20,-2730.35,-2771.03,-55.84,SL hit,1
2024-08-20,SENSEX,CALL,80762.89,80517.95,0.0030420545977636335,10:00:00,80915.37,440.15,348.18,1,10,10,-959.66,-1000.7,-22.74,SL hit,3
2024-09-04,SENSEX,CALL,82097.06,81833.69,0.003218356645044301,10:00:00,82185.17,365.02,326.01,1,10,10,-430.07,-471.05,-12.9,Hard close,2
2024-09-19,SENSEX,PUT,83684.18,83332.09,0.004225143039134102,11:15:00,83240.16,261.42,233.28,2,10,20,-642.83,-684.22,-13.09,Hard close,1
2024-09-26,SENSEX,CALL,85370.13,85106.74,0.003094819517232118,12:00:00,85474.9,268.44,400.86,2,10,20,2568.42,2526.03,47.05,Hard close,1
2024-10-01,SENSEX,PUT,84648.4,84250.62,0.004721389587400055,10:30:00,84154.97,457.77,325.44,1,10,10,-1363.3,-1404.27,-30.68,SL hit,3
2024-10-03,SENSEX,PUT,83608.12,83002.09,0.007301382410973011,12:15:00,82893.24,260.33,413.78,2,10,20,2989.0,2946.53,56.59,Target hit,1
2024-10-08,SENSEX,CALL,81244.09,80813.07,0.0053335432003757495,10:15:00,81329.06,442.4,420.51,1,10,10,-258.86,-300.11,-6.78,Hard close,3
2024-10-17,SENSEX,PUT,81781.4,81472.23,0.0037947899548103478,10:00:00,81222.13,255.08,313.53,2,10,20,1089.03,1047.16,20.53,Hard close,1
2024-10-22,SENSEX,PUT,81390.6,81067.89,0.0039807376262044865,10:15:00,80751.54,439.25,295.95,1,10,10,-1473.02,-1513.9,-34.47,SL hit,3
2024-10-23,SENSEX,CALL,80389.51,79891.68,0.006231312196714373,11:00:00,80472.93,357.41,270.69,1,10,10,-907.22,-948.02,-26.52,SL hit,2
2024-10-28,SENSEX,CALL,79864.74,79624.66,0.0030151463127126915,10:15:00,80148.34,435.97,332.23,1,10,10,-1077.41,-1118.4,-25.65,SL hit,3
2024-10-29,SENSEX,PUT,80104.59,79681.25,0.0053129186602870375,10:30:00,79523.34,353.19,232.49,1,10,10,-1247.02,-1287.71,-36.46,SL hit,2
2024-11-04,SENSEX,PUT,79713.14,79003.7,0.008979832590119226,10:00:00,78675.62,494.17,354.45,1,10,10,-1437.19,-1478.25,-29.91,SL hit,4
2024-11-05,SENSEX,PUT,78833.88,78455.66,0.004820812163201496,11:30:00,78354.62,426.22,336.52,1,10,10,-936.99,-977.99,-22.95,SL hit,3
2024-11-06,SENSEX,CALL,79862.96,79459.12,0.00508236184845756,10:00:00,80001.97,355.32,268.34,1,10,10,-909.79,-950.59,-26.75,SL hit,2
2024-11-07,SENSEX,PUT,80563.42,79963.9,0.007497383194166419,10:00:00,79522.26,249.74,159.69,2,10,20,-1880.98,-1921.93,-38.48,SL hit,1
2024-11-11,SENSEX,CALL,79331.34,79001.34,0.004177144337045423,10:15:00,79711.51,433.6,255.5,1,10,10,-1820.96,-1861.72,-42.94,SL hit,3
2024-11-12,SENSEX,PUT,79820.98,79546.41,0.0034516956830609002,10:30:00,79462.91,352.93,530.18,1,10,10,1732.52,1690.94,47.91,Target hit,2
2024-11-13,SENSEX,PUT,78690.02,78435.49,0.0032450871410377984,10:00:00,78177.89,245.52,183.16,2,10,20,-1327.24,-1368.33,-27.87,SL hit,1
2024-11-18,SENSEX,PUT,77886.97,77329.84,0.007204592690221584,10:15:00,77144.02,484.55,370.17,1,10,10,-1183.81,-1224.91,-25.28,SL hit,4
2024-11-19,SENSEX,CALL,78024.16,77525.05,0.0064380480889725394,10:00:00,78113.38,424.9,159.22,1,10,10,-2696.79,-2737.26,-64.42,SL hit,3
2024-11-21,SENSEX,PUT,77711.11,77110.21,0.007792742361873922,10:00:00,76992.86,241.8,186.84,2,10,20,-1179.25,-1220.36,-25.23,SL hit,1
2024-11-27,SENSEX,CALL,80170.16,79879.66,0.003636720536867583,12:30:00,80323.8,356.75,303.7,1,10,10,-570.54,-611.45,-17.14,Hard close,2
2024-12-03,SENSEX,CALL,80549.06,80244.78,0.0037918977408873057,10:15:00,80665.85,438.79,440.15,1,10,10,-26.44,-67.75,-1.54,Hard close,3
2024-12-18,SENSEX,PUT,80755.12,80496.57,0.003211938098728782,10:00:00,80339.48,356.82,244.9,1,10,10,-1159.24,-1199.97,-33.63,SL hit,2
2024-12-23,SENSEX,CALL,78743.16,78488.64,0.003242762264704855,11:00:00,78826.31,495.11,353.26,1,10,10,-1458.46,-1499.51,-30.29,SL hit,4
2024-12-26,SENSEX,PUT,78898.37,78556.29,0.004354584464210336,10:15:00,78453.72,246.39,177.36,1,10,10,-730.31,-770.84,-31.29,SL hit,1
2025-01-06,SENSEX,PUT,79532.67,79274.59,0.003255519833025964,10:15:00,79177.11,497.32,843.24,1,10,10,3419.17,3376.65,67.9,Target hit,4
2025-01-08,SENSEX,PUT,78319.45,77941.22,0.004852759553930461,10:15:00,77839.0,345.71,227.34,1,10,10,-1223.73,-1264.41,-36.57,SL hit,2
2025-01-09,SENSEX,PUT,78206.21,77846.43,0.004621663446866008,10:45:00,77684.12,243.97,246.97,1,10,10,-10.02,-50.75,-2.08,Hard close,1
2025-01-13,SENSEX,CALL,76846.99,76535.24,0.0040732870243824935,10:15:00,77077.55,484.13,344.5,1,10,10,-1436.33,-1477.36,-30.52,SL hit,4
2025-01-16,SENSEX,PUT,77319.5,77064.42,0.0033099580844182276,10:45:00,76945.39,241.65,183.47,1,10,10,-621.75,-662.3,-27.41,SL hit,1
2025-01-20,SENSEX,CALL,77017.54,76627.6,0.005088766971691502,11:15:00,77115.82,484.37,442.3,1,10,10,-460.73,-502.05,-10.36,Hard close,4
2025-01-21,SENSEX,PUT,77297.72,77034.38,0.0034184736737025274,10:00:00,76688.5,417.15,625.98,1,10,10,2048.29,2006.42,48.1,Target hit,3
